Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,19 Porozo,Pass,6,33,40,41,26,26
Home,3 Loor,Pass Received,6,33,26,26,-,-
Home,3 Loor,Pass,6,36,29,26,43,40
Home,15 Cmch,Pass Received,6,36,43,40,-,-
Home,15 Cmch,Pass,6,36,44,39,53,33
Home,10 Cbzs,Pass Received,6,36,53,33,-,-
Home,10 Cbzs,Pass,6,43,55,38,79,94
Home,52 Mndz,Pass Received,6,43,79,94,-,-
Home,2 Castro,Pass,7,10,77,88,58,89
Home,54 Hurt,Pass Received,7,10,57,90,-,-
Home,54 Hurt,Pass,7,13,57,87,45,51
Home,3 Loor,Pass Received,7,13,45,51,-,-
Home,3 Loor,Pass,7,17,50,50,48,62
Home,54 Hurt,Pass Received,7,17,48,62,-,-
Home,54 Hurt,Pass,7,19,51,64,59,57
Home,2 Castro,Pass Received,7,19,59,57,-,-
Home,2 Castro,Pass,7,19,57,59,48,43
Home,3 Loor,Pass Received,7,19,48,43,-,-
Home,3 Loor,Failed Pass,7,24,52,50,77,12
Home,15 Cmch,Pass,7,29,55,27,55,49
Home,2 Castro,Pass Received,7,30,55,50,-,-
Home,2 Castro,Pass,7,31,57,44,64,34
Home,10 Cbzs,Pass Received,7,31,64,35,-,-
Home,10 Cbzs,Pass,7,36,58,52,74,47
Home,11 Mlna,Pass Received,7,36,74,47,-,-
Home,11 Mlna,Pass,7,39,70,53,78,90
Home,52 Mndz,Pass Received,7,39,78,90,-,-
Home,59 Vldz,Pass,8,33,60,23,60,49
Home,19 Porozo,Pass Received,8,33,60,49,-,-
Home,19 Porozo,Pass,8,36,59,49,48,50
Home,54 Hurt,Pass Received,8,36,47,50,-,-
Home,54 Hurt,Pass,8,44,52,54,77,7
Home,59 Vldz,Pass Received,8,44,77,6,-,-
Home,59 Vldz,Pass,8,47,72,6,62,6
Home,10 Cbzs,Pass Received,8,47,62,7,-,-
Home,10 Cbzs,Pass,8,50,61,7,60,29
Home,2 Castro,Pass Received,8,50,60,28,-,-
Home,2 Castro,Failed Pass,8,53,63,28,84,36
Home,3 Loor,Failed Pass,9,5,44,39,93,20
Home,52 Mndz,Pass,9,51,71,85,64,72
Home,19 Porozo,Pass Received,9,51,64,72,-,-
Home,19 Porozo,Pass,9,53,64,73,72,80
Home,15 Cmch,Pass Received,9,53,71,80,-,-
Home,15 Cmch,Failed Pass,9,54,71,80,70,89
Home,54 Hurt,Pass,9,57,61,86,66,80
Home,19 Porozo,Pass Received,9,57,66,80,-,-
Home,19 Porozo,Pass,9,59,66,84,79,98
Home,10 Cbzs,Pass Received,9,59,79,98,-,-
Home,10 Cbzs,Pass,10,3,76,97,47,91
Home,54 Hurt,Pass Received,10,3,47,91,-,-
Home,54 Hurt,Pass,10,7,37,81,15,58
Home,1 ,Pass Received,10,7,15,57,-,-
Home,1 ,Pass,10,13,20,57,21,39
Home,2 Castro,Pass Received,10,13,21,39,-,-
Home,2 Castro,Pass,10,19,23,39,22,64
Home,54 Hurt,Pass Received,10,19,21,64,-,-
Home,54 Hurt,Pass,10,24,39,66,54,97
Home,10 Cbzs,Pass Received,10,24,54,97,-,-
Home,10 Cbzs,Pass,10,28,53,82,68,88
Home,19 Porozo,Pass Received,10,28,67,89,-,-
Home,19 Porozo,Pass,10,33,70,81,90,72
Home,11 Mlna,Pass Received,10,33,90,72,-,-
Home,11 Mlna,Pass,10,35,90,72,86,71
Home,52 Mndz,Shot,10,35,85,71,99,52
Home,3 Loor,Pass,11,16,40,7,32,36
Home,54 Hurt,Pass Received,11,16,32,36,-,-
Home,54 Hurt,Pass,11,18,32,38,35,73
Home,19 Porozo,Pass Received,11,18,36,73,-,-
Home,19 Porozo,Pass,11,22,30,73,27,60
Home,54 Hurt,Pass Received,11,22,27,60,-,-
Home,54 Hurt,Failed Pass,11,26,30,65,75,85
Home,15 Cmch,Pass,12,6,32,55,18,75
Home,54 Hurt,Pass Received,12,6,17,75,-,-
Home,54 Hurt,Pass,12,10,17,73,14,49
Home,2 Castro,Pass Received,12,10,13,49,-,-
Home,2 Castro,Pass,12,15,27,39,41,2
Home,59 Vldz,Pass Received,12,15,42,1,-,-
Home,59 Vldz,Pass,12,24,73,27,79,29
Home,15 Cmch,Pass Received,12,24,79,29,-,-
Home,2 Castro,Pass,13,22,50,49,53,29
Home,3 Loor,Pass Received,13,22,53,29,-,-
Home,3 Loor,Pass,13,25,54,29,46,47
Home,2 Castro,Pass Received,13,25,46,47,-,-
Home,2 Castro,Pass,13,29,47,32,54,40
Home,15 Cmch,Pass Received,13,29,54,39,-,-
Home,15 Cmch,Pass,13,30,53,39,55,31
Home,2 Castro,Pass Received,13,30,55,31,-,-
Home,2 Castro,Pass,13,31,55,30,65,36
Home,7 Qntrs,Pass Received,13,31,65,36,-,-
Home,7 Qntrs,Shot,13,34,71,47,-,-
Home,15 Cmch,Pass,14,4,24,47,32,48
